service_id,date,exception_type
1,20221003,2
2,20221003,2
6,20221003,2
8,20221003,2
9,20221003,2
10,20221003,2
12,20221003,1
18,20221003,2
21,20221003,2
21,20221004,2
21,20221005,2
21,20221006,2
21,20221007,2
21,20221010,2
21,20221011,2
21,20221012,2
21,20221013,2
21,20221014,2
22,20221003,2
22,20221004,2
22,20221005,2
22,20221006,2
22,20221010,2
22,20221011,2
22,20221012,2
22,20221013,2
23,20221004,2
23,20221011,2
24,20221006,2
24,20221013,2
25,20221007,2
25,20221014,2
26,20221003,2
26,20221010,2
27,20221004,2
27,20221005,2
27,20221006,2
27,20221007,2
27,20221011,2
27,20221012,2
27,20221013,2
27,20221014,2
28,20221003,2
28,20221004,2
28,20221005,2
28,20221007,2
28,20221010,2
28,20221011,2
28,20221012,2
28,20221014,2
30,20221003,2
30,20221004,2
30,20221006,2
30,20221010,2
30,20221011,2
30,20221013,2
43,20221005,2
43,20221012,2
44,20221003,2
44,20221004,2
44,20221006,2
44,20221007,2
44,20221010,2
44,20221011,2
44,20221013,2
44,20221014,2
45,20221003,2
45,20221005,2
45,20221006,2
45,20221007,2
45,20221010,2
45,20221012,2
45,20221013,2
45,20221014,2
48,20221003,2
48,20221006,2
48,20221007,2
48,20221010,2
48,20221013,2
48,20221014,2
50,20221004,2
50,20221006,2
50,20221007,2
50,20221011,2
50,20221013,2
50,20221014,2
51,20221003,2
51,20221004,2
51,20221007,2
51,20221010,2
51,20221011,2
51,20221014,2
53,20221003,2
57,20221003,2
59,20221003,2
64,20221003,2
81,20221003,1
81,20221002,2
3001,20221003,2
3003,20221003,1
4501,20221003,2
4503,20221003,1
4503,20221225,2
4506,20221007,2
4509,20221003,2
4601,20221003,2
4603,20221003,1
4603,20221225,2
4607,20221003,2
5501,20221003,2
5503,20221003,1
5507,20221003,2
5513,20221003,2
5514,20221003,2
5701,20221003,2
5701,20221004,2
5701,20221005,2
5701,20221006,2
5701,20221007,2
5701,20221010,2
5701,20221011,2
5701,20221012,2
5701,20221013,2
5701,20221014,2
8302,20221001,2
8303,20221002,2
8402,20221008,2
8402,20221015,2
8403,20221009,2
8403,20221016,2
8403,20221003,1
8501,20221003,2
8503,20221003,1
8602,20221001,2
8603,20221002,2
8703,20221003,1
8801,20221003,2
8801,20221004,2
8801,20221005,2
8801,20221006,2
8801,20221007,2
8801,20221010,2
8801,20221011,2
8801,20221012,2
8801,20221013,2
8801,20221014,2
9101,20221003,2
9107,20221003,2
9114,20221003,2
9401,20221216,2
9402,20221216,2
9403,20221216,2
9501,20221003,2
9503,20221003,1
